epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,2982.66,1.04778,0.98377,1.43843,0.86091,0.71864,0.76924,0.53751,1.21934,0.93486,1.54566,0.005809,0.005809,0.005809
129,3004.92,1.03888,0.96416,1.43752,0.87924,0.69506,0.76374,0.52916,1.22737,0.94386,1.55394,0.005776,0.005776,0.005776
130,3030.96,1.03615,0.972,1.4326,0.88176,0.70022,0.77144,0.53337,1.23143,0.94585,1.55951,0.005743,0.005743,0.005743
131,3053.43,1.04091,0.96225,1.42733,0.86955,0.71695,0.7759,0.53605,1.21365,0.92514,1.54705,0.00571,0.00571,0.00571
132,3075.51,1.03277,0.96757,1.4343,0.86076,0.71517,0.77406,0.53709,1.21124,0.93705,1.54534,0.005677,0.005677,0.005677
133,3101.55,1.03082,0.95667,1.42972,0.87458,0.69659,0.77204,0.53889,1.21266,0.92957,1.54733,0.005644,0.005644,0.005644
134,3125.6,1.03911,0.96537,1.43588,0.87892,0.70709,0.76832,0.53398,1.23766,0.93695,1.56087,0.005611,0.005611,0.005611
135,3146.73,1.02242,0.95279,1.43092,0.86561,0.71002,0.7698,0.53535,1.22044,0.92618,1.55352,0.005578,0.005578,0.005578
136,3168.41,1.03369,0.95835,1.42776,0.87971,0.70426,0.77035,0.5398,1.20581,0.91341,1.5365,0.005545,0.005545,0.005545
137,3194.34,1.0375,0.96311,1.43616,0.8791,0.7025,0.77701,0.53783,1.20862,0.91848,1.53715,0.005512,0.005512,0.005512
138,3218.73,1.014,0.94087,1.42251,0.87867,0.70545,0.77527,0.54084,1.20528,0.9214,1.53308,0.005479,0.005479,0.005479
139,3239.85,1.02899,0.95236,1.42674,0.86929,0.70987,0.77593,0.54535,1.19636,0.91472,1.5298,0.005446,0.005446,0.005446
140,3264.37,1.01936,0.94805,1.42425,0.88212,0.71767,0.78204,0.54586,1.20377,0.90295,1.54068,0.005413,0.005413,0.005413
141,3290.31,1.0013,0.92445,1.40975,0.8995,0.70341,0.77606,0.54265,1.20148,0.9074,1.53923,0.00538,0.00538,0.00538
142,3312.22,1.03827,0.95596,1.42472,0.89239,0.70704,0.77292,0.54489,1.19487,0.90238,1.53652,0.005347,0.005347,0.005347
143,3334.86,1.02999,0.95558,1.42218,0.88501,0.70344,0.77391,0.54741,1.19498,0.89279,1.53013,0.005314,0.005314,0.005314
144,3360.88,1.01799,0.94159,1.41607,0.87137,0.72177,0.78212,0.54846,1.19424,0.89227,1.52941,0.005281,0.005281,0.005281
145,3384.63,1.01697,0.93542,1.41807,0.88837,0.6996,0.77176,0.54869,1.18462,0.89108,1.52916,0.005248,0.005248,0.005248
146,3405.63,1.00904,0.93841,1.41902,0.88997,0.69787,0.77599,0.54699,1.19587,0.89918,1.53428,0.005215,0.005215,0.005215
147,3430.52,1.02144,0.94057,1.42601,0.88741,0.70238,0.78028,0.54619,1.19823,0.90207,1.53048,0.005182,0.005182,0.005182
148,3456.65,1.02986,0.93072,1.41577,0.9025,0.69745,0.78243,0.547,1.18674,0.89036,1.52661,0.005149,0.005149,0.005149
149,3478.25,1.01274,0.94478,1.41888,0.89876,0.68577,0.78064,0.55014,1.18101,0.89207,1.52215,0.005116,0.005116,0.005116
150,3501.15,1.00391,0.92185,1.40731,0.87169,0.71086,0.7788,0.54962,1.1869,0.88867,1.5252,0.005083,0.005083,0.005083
151,3527.09,1.01995,0.94731,1.42095,0.85954,0.71237,0.7811,0.54684,1.18828,0.883,1.52893,0.00505,0.00505,0.00505
152,3550.37,1.01051,0.9188,1.40878,0.86523,0.72358,0.78709,0.54789,1.19408,0.88427,1.529,0.005017,0.005017,0.005017
153,3571.44,1.0316,0.93879,1.42306,0.85528,0.72906,0.78514,0.5496,1.19645,0.88277,1.52855,0.004984,0.004984,0.004984
154,3596.77,1.00239,0.91216,1.41113,0.87757,0.7227,0.78597,0.55102,1.18612,0.88063,1.52173,0.004951,0.004951,0.004951
155,3621.73,1.00416,0.9229,1.39825,0.88514,0.72175,0.78281,0.54961,1.18919,0.89509,1.52085,0.004918,0.004918,0.004918
156,3642.79,0.99574,0.91424,1.40095,0.88185,0.72064,0.78703,0.54974,1.19327,0.88774,1.52666,0.004885,0.004885,0.004885
157,3666.39,1.00073,0.90407,1.40156,0.84684,0.73986,0.78371,0.55119,1.19191,0.88301,1.52165,0.004852,0.004852,0.004852
158,3692.19,1.00776,0.91084,1.40923,0.85634,0.72888,0.79009,0.55445,1.18856,0.87064,1.51944,0.004819,0.004819,0.004819
159,3715.18,1.00147,0.91144,1.40275,0.87807,0.7268,0.78822,0.5577,1.18428,0.87224,1.5164,0.004786,0.004786,0.004786
160,3736.22,0.99325,0.90264,1.399,0.87759,0.7364,0.79248,0.55386,1.18556,0.87166,1.52154,0.004753,0.004753,0.004753
161,3762.22,1.00264,0.91009,1.40958,0.87477,0.73059,0.79219,0.55058,1.19574,0.87348,1.53395,0.00472,0.00472,0.00472
162,3787,0.99711,0.89942,1.39524,0.87224,0.72685,0.78731,0.55155,1.19042,0.87311,1.52879,0.004687,0.004687,0.004687
163,3808.04,0.98809,0.89498,1.39056,0.86871,0.72972,0.78686,0.55272,1.18946,0.87601,1.52857,0.004654,0.004654,0.004654
164,3831.78,1.00029,0.88624,1.39657,0.88507,0.7273,0.79033,0.55225,1.18544,0.87139,1.52456,0.004621,0.004621,0.004621
165,3857.49,0.98235,0.88992,1.39561,0.87509,0.72876,0.78832,0.55531,1.17962,0.87611,1.52022,0.004588,0.004588,0.004588
166,3879.95,0.9889,0.90514,1.39942,0.86969,0.72452,0.78606,0.55581,1.17948,0.87423,1.5166,0.004555,0.004555,0.004555
167,3902.33,0.99264,0.88577,1.392,0.83757,0.74424,0.78806,0.55905,1.17974,0.87165,1.51788,0.004522,0.004522,0.004522
168,3928.31,0.99079,0.89521,1.39004,0.85713,0.72877,0.78707,0.55568,1.18188,0.86794,1.52083,0.004489,0.004489,0.004489
169,3952.14,0.98998,0.89071,1.3934,0.87032,0.72322,0.7883,0.55834,1.18046,0.86294,1.51557,0.004456,0.004456,0.004456
170,3973.23,0.97952,0.89512,1.38823,0.86802,0.73392,0.78809,0.5615,1.17559,0.85802,1.5128,0.004423,0.004423,0.004423
171,3997.91,0.97965,0.87456,1.39042,0.87254,0.72999,0.7895,0.56185,1.1703,0.8541,1.5094,0.00439,0.00439,0.00439
172,4023.21,0.97205,0.87512,1.38378,0.86341,0.73782,0.78873,0.56317,1.1668,0.85531,1.509,0.004357,0.004357,0.004357
173,4048.07,0.98995,0.88361,1.39281,0.87111,0.73981,0.79284,0.56311,1.16595,0.85426,1.50724,0.004324,0.004324,0.004324
174,4073.52,0.98793,0.87844,1.39607,0.8762,0.73978,0.79058,0.56118,1.16388,0.84945,1.50406,0.004291,0.004291,0.004291
175,4095.92,0.97431,0.87084,1.38102,0.86843,0.73548,0.78691,0.56055,1.16498,0.85405,1.50387,0.004258,0.004258,0.004258
176,4118,0.99475,0.88338,1.39004,0.88098,0.72704,0.78734,0.56174,1.16185,0.85681,1.5016,0.004225,0.004225,0.004225
177,4143.57,0.97695,0.85592,1.37621,0.88621,0.72151,0.78978,0.56154,1.16333,0.85756,1.50416,0.004192,0.004192,0.004192
178,4167.85,0.97613,0.85641,1.37941,0.8854,0.73051,0.78868,0.56362,1.15826,0.85328,1.49658,0.004159,0.004159,0.004159
179,4188.92,0.97483,0.88378,1.38639,0.88291,0.72997,0.78906,0.56439,1.16118,0.84608,1.49957,0.004126,0.004126,0.004126
180,4213,0.97815,0.87101,1.38049,0.87042,0.74002,0.79473,0.56755,1.15674,0.84487,1.49702,0.004093,0.004093,0.004093
181,4238.77,0.9602,0.85327,1.37215,0.87675,0.73984,0.79351,0.56523,1.1606,0.84538,1.50134,0.00406,0.00406,0.00406
182,4261.15,0.97645,0.86262,1.38413,0.87805,0.73493,0.79338,0.56405,1.16359,0.84715,1.50097,0.004027,0.004027,0.004027
183,4283.51,0.96324,0.87375,1.37503,0.86966,0.73776,0.7916,0.56292,1.16373,0.84828,1.50262,0.003994,0.003994,0.003994
184,4309.26,0.96171,0.85804,1.37363,0.87598,0.73461,0.79261,0.56357,1.16325,0.8466,1.50487,0.003961,0.003961,0.003961
185,4333.36,0.97317,0.86684,1.36955,0.87664,0.7359,0.7927,0.56254,1.16828,0.84851,1.50926,0.003928,0.003928,0.003928
186,4354.49,0.96432,0.85704,1.36787,0.87914,0.73757,0.7953,0.56306,1.16805,0.84578,1.5098,0.003895,0.003895,0.003895
187,4379.02,0.97474,0.856,1.36872,0.87459,0.74148,0.79195,0.56019,1.16802,0.84213,1.50949,0.003862,0.003862,0.003862
188,4404.95,0.96012,0.86222,1.3648,0.87667,0.741,0.79652,0.56154,1.16946,0.84304,1.51068,0.003829,0.003829,0.003829
189,4426.8,0.97119,0.86643,1.37519,0.87069,0.73897,0.79482,0.56216,1.16978,0.84439,1.51313,0.003796,0.003796,0.003796
190,4449.55,0.95158,0.8437,1.35857,0.8725,0.73589,0.79322,0.56327,1.16957,0.84685,1.51327,0.003763,0.003763,0.003763
