epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,4923.2,1.08394,1.02872,1.4638,0.83725,0.71335,0.76379,0.51353,1.3175,1.10903,1.71922,0.006766,0.006766,0.006766
100,4972.25,1.08487,1.03506,1.47475,0.8519,0.71536,0.78029,0.52505,1.31236,1.07194,1.70769,0.006733,0.006733,0.006733
101,5021.57,1.0764,1.00875,1.46335,0.85996,0.71587,0.78512,0.51885,1.33254,1.04632,1.71353,0.0067,0.0067,0.0067
102,5071.04,1.09505,1.02715,1.46843,0.82739,0.71322,0.765,0.51665,1.31372,1.08239,1.6979,0.006667,0.006667,0.006667
103,5120.37,1.0721,1.01988,1.45722,0.8428,0.7107,0.76995,0.51939,1.31121,1.06926,1.69267,0.006634,0.006634,0.006634
104,5169.6,1.07216,1.00716,1.4595,0.85836,0.7204,0.7802,0.52023,1.33394,1.06209,1.70489,0.006601,0.006601,0.006601
105,5218.85,1.07613,1.02043,1.46641,0.8528,0.71298,0.77268,0.51866,1.32062,1.05895,1.69625,0.006568,0.006568,0.006568
106,5267.7,1.06237,1.00887,1.46226,0.86175,0.70665,0.77407,0.51886,1.3099,1.08229,1.70262,0.006535,0.006535,0.006535
107,5316.67,1.05812,1.00665,1.44973,0.83532,0.72244,0.77807,0.52466,1.31865,1.0696,1.70791,0.006502,0.006502,0.006502
108,5365.53,1.07133,1.00784,1.45978,0.85565,0.69966,0.77266,0.51934,1.33183,1.05848,1.71321,0.006469,0.006469,0.006469
109,5414.51,1.06202,1.00018,1.45322,0.85438,0.69358,0.77676,0.51903,1.32918,1.07874,1.72615,0.006436,0.006436,0.006436
110,5463.3,1.06065,0.98931,1.44706,0.86042,0.71686,0.78664,0.53307,1.27903,1.0514,1.68045,0.006403,0.006403,0.006403
111,5512.31,1.05436,0.98722,1.45539,0.84282,0.71598,0.77615,0.52315,1.31339,1.07505,1.70212,0.00637,0.00637,0.00637
112,5561.15,1.0626,0.99526,1.45126,0.83776,0.70938,0.7753,0.51688,1.30926,1.05029,1.68487,0.006337,0.006337,0.006337
113,5610.51,1.05083,0.98401,1.44467,0.86258,0.71132,0.77724,0.51898,1.33183,1.04961,1.72857,0.006304,0.006304,0.006304
114,5659.79,1.05358,0.98231,1.43321,0.84531,0.71508,0.7812,0.52873,1.29768,1.05493,1.70175,0.006271,0.006271,0.006271
115,5708.32,1.0718,0.99682,1.45558,0.84238,0.70922,0.77778,0.52801,1.29745,1.05432,1.67791,0.006238,0.006238,0.006238
116,5756.84,1.04551,0.97745,1.43799,0.8519,0.7159,0.7757,0.5262,1.29612,1.03732,1.6781,0.006205,0.006205,0.006205
117,5806,1.03517,0.95578,1.43882,0.83263,0.71835,0.77385,0.52195,1.3107,1.06022,1.71321,0.006172,0.006172,0.006172
118,5854.75,1.05035,0.96652,1.43729,0.85887,0.72212,0.78643,0.53343,1.28355,1.0291,1.67584,0.006139,0.006139,0.006139
119,5903.53,1.03759,0.95301,1.4363,0.85157,0.72453,0.78523,0.53071,1.2882,1.03855,1.6827,0.006106,0.006106,0.006106
