epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2916.26,1.16749,1.19423,1.55846,0.78861,0.64085,0.69574,0.4475,1.42845,1.24873,1.7977,0.007888,0.007888,0.007888
66,2960.96,1.16896,1.18614,1.55215,0.78253,0.65262,0.71218,0.4696,1.39426,1.21228,1.75293,0.007855,0.007855,0.007855
67,3005.67,1.15522,1.17598,1.54593,0.79711,0.65437,0.71448,0.47252,1.37538,1.21659,1.73454,0.007822,0.007822,0.007822
68,3050.38,1.17133,1.19002,1.56231,0.80298,0.64583,0.70533,0.47033,1.3731,1.28105,1.73564,0.007789,0.007789,0.007789
69,3095.1,1.17716,1.18778,1.5558,0.83229,0.65319,0.72051,0.47127,1.36728,1.17647,1.72462,0.007756,0.007756,0.007756
70,3139.88,1.16543,1.18344,1.54695,0.78648,0.66694,0.71699,0.4659,1.39825,1.17651,1.74216,0.007723,0.007723,0.007723
71,3184.61,1.15458,1.15307,1.53915,0.83349,0.65636,0.72544,0.47685,1.36311,1.19692,1.71275,0.00769,0.00769,0.00769
72,3229.39,1.15218,1.14434,1.53247,0.83855,0.65663,0.71438,0.46894,1.36606,1.17372,1.72947,0.007657,0.007657,0.007657
73,3274.19,1.16495,1.16951,1.54465,0.84613,0.64753,0.72751,0.48541,1.36459,1.18171,1.71384,0.007624,0.007624,0.007624
74,3318.91,1.14624,1.15114,1.5337,0.81527,0.65622,0.72014,0.48823,1.36603,1.17087,1.71607,0.007591,0.007591,0.007591
75,3363.65,1.14289,1.1469,1.52728,0.79364,0.66297,0.72195,0.48829,1.33225,1.15766,1.68057,0.007558,0.007558,0.007558
76,3408.41,1.15689,1.15718,1.54964,0.84285,0.66033,0.73068,0.49542,1.32393,1.14051,1.69209,0.007525,0.007525,0.007525
77,3453.22,1.15099,1.14145,1.52819,0.8356,0.64865,0.72519,0.4873,1.33847,1.19184,1.71193,0.007492,0.007492,0.007492
78,3497.94,1.12141,1.12252,1.51481,0.81334,0.67377,0.72545,0.49097,1.33297,1.14701,1.68852,0.007459,0.007459,0.007459
79,3542.72,1.1317,1.12223,1.51829,0.82445,0.66681,0.72385,0.4907,1.32201,1.13803,1.67902,0.007426,0.007426,0.007426
80,3587.47,1.13626,1.12495,1.52568,0.83414,0.67835,0.73904,0.49991,1.34328,1.12733,1.70316,0.007393,0.007393,0.007393
81,3632.18,1.12626,1.1102,1.51336,0.8296,0.68134,0.73895,0.50203,1.3174,1.10982,1.67474,0.00736,0.00736,0.00736
82,3676.97,1.11987,1.10466,1.50169,0.84227,0.65675,0.73233,0.4988,1.30975,1.12521,1.66961,0.007327,0.007327,0.007327
83,3721.74,1.10844,1.09175,1.50422,0.8693,0.66114,0.74911,0.50328,1.32522,1.07499,1.68537,0.007294,0.007294,0.007294
84,3766.48,1.12946,1.09941,1.51386,0.82126,0.6306,0.71397,0.48152,1.36582,1.16202,1.72191,0.007261,0.007261,0.007261
85,3811.22,1.13666,1.0955,1.51351,0.85815,0.6774,0.75218,0.51169,1.29669,1.07753,1.6426,0.007228,0.007228,0.007228
86,3855.95,1.10425,1.08251,1.49985,0.84567,0.67735,0.74516,0.49796,1.31455,1.10992,1.67365,0.007195,0.007195,0.007195
87,3900.69,1.11555,1.09771,1.50816,0.82339,0.68851,0.74135,0.49967,1.31793,1.10282,1.65968,0.007162,0.007162,0.007162
88,3945.42,1.10513,1.0817,1.49545,0.82247,0.68995,0.74166,0.50247,1.29499,1.0939,1.67459,0.007129,0.007129,0.007129
89,3990.19,1.12378,1.08965,1.50407,0.81491,0.69721,0.76062,0.51053,1.30591,1.0866,1.65111,0.007096,0.007096,0.007096
90,4034.97,1.08706,1.04611,1.48321,0.81071,0.68746,0.74269,0.50435,1.30364,1.10716,1.66175,0.007063,0.007063,0.007063
91,4079.71,1.10994,1.07559,1.49426,0.87477,0.66816,0.74819,0.50496,1.29075,1.0966,1.64358,0.00703,0.00703,0.00703
92,4124.4,1.09258,1.06336,1.498,0.82453,0.69201,0.75444,0.51295,1.29516,1.04567,1.65607,0.006997,0.006997,0.006997
93,4169.13,1.09915,1.07198,1.49243,0.83255,0.68502,0.7508,0.51124,1.29435,1.07824,1.64824,0.006964,0.006964,0.006964
94,4213.9,1.09579,1.05276,1.48349,0.80564,0.69392,0.74367,0.50576,1.28992,1.08483,1.6495,0.006931,0.006931,0.006931
95,4258.6,1.09335,1.0653,1.49066,0.8589,0.67257,0.75655,0.51381,1.28028,1.05777,1.62926,0.006898,0.006898,0.006898
96,4303.37,1.09198,1.06635,1.4886,0.8248,0.71214,0.76183,0.51755,1.2801,1.04193,1.63968,0.006865,0.006865,0.006865
